tactic,technique_id,technique,audit_category,audit_sub_category,event_id,message
Lateral Movement,T1021.001,Remote Desktop Protocol,Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
Lateral Movement,T1021.001,Remote Desktop Protocol,Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.
Lateral Movement,T1021.001,Remote Desktop Protocol,Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.
Lateral Movement,T1021.001,Remote Desktop Protocol,Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.
Lateral Movement,T1021.001,Remote Desktop Protocol,Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,File Share,5140,A network share object was accessed.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,Detailed File Share,5145,A network share object was checked to see whether the client can be granted desired access.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.
Lateral Movement,T1021.002,SMB/Windows Admin Shares,Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.
Lateral Movement,T1021.004,SSH,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1021.004,SSH,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1021.004,SSH,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1021.004,SSH,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1021.004,SSH,Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
Lateral Movement,T1021.004,SSH,Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
Lateral Movement,T1021.004,SSH,Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
Lateral Movement,T1021.004,SSH,Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.
Lateral Movement,T1021.004,SSH,Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.
Lateral Movement,T1021.004,SSH,Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.
Lateral Movement,T1021.004,SSH,Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.
Lateral Movement,T1021.005,VNC,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1021.005,VNC,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1021.005,VNC,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1021.005,VNC,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1021.005,VNC,Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
Lateral Movement,T1021.005,VNC,Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
Lateral Movement,T1021.005,VNC,Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
Lateral Movement,T1021.005,VNC,Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.
Lateral Movement,T1021.005,VNC,Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.
Lateral Movement,T1021.005,VNC,Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.
Lateral Movement,T1021.005,VNC,Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.
Lateral Movement,T1021.006,Windows Remote Management,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1021.006,Windows Remote Management,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1021.006,Windows Remote Management,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1021.006,Windows Remote Management,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1021.006,Windows Remote Management,Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
Lateral Movement,T1021.006,Windows Remote Management,Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
Lateral Movement,T1021.006,Windows Remote Management,Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
Lateral Movement,T1021.006,Windows Remote Management,Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.
Lateral Movement,T1021.006,Windows Remote Management,Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.
Lateral Movement,T1021.006,Windows Remote Management,Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.
Lateral Movement,T1021.006,Windows Remote Management,Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.
Defense Evasion,T1070,Indicator Removal on Host,Logon/Logoff,Logon,4624,An account was successfully logged on.
Defense Evasion,T1070,Indicator Removal on Host,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Defense Evasion,T1070,Indicator Removal on Host,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Defense Evasion,T1070,Indicator Removal on Host,Object Access,Registry,4657,A registry value was modified.
Defense Evasion,T1070,Indicator Removal on Host,Object Access,File System,4660,An object was deleted.
Defense Evasion,T1070,Indicator Removal on Host,Object Access,Registry,4660,An object was deleted.
Defense Evasion,T1070,Indicator Removal on Host,Object Access,File System,4670,Permissions on an object were changed.
Defense Evasion,T1070,Indicator Removal on Host,Object Access,Registry,4670,Permissions on an object were changed.
Defense Evasion,T1070,Indicator Removal on Host,Detailed Tracking,Process Creation,4688,A new process has been created.
Defense Evasion,T1070.005,Network Share Connection Removal,Logon/Logoff,Logon,4624,An account was successfully logged on.
Defense Evasion,T1070.005,Network Share Connection Removal,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Defense Evasion,T1070.005,Network Share Connection Removal,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Defense Evasion,T1070.005,Network Share Connection Removal,Detailed Tracking,Process Creation,4688,A new process has been created.
Persistence,T1078,Valid Accounts,Logon/Logoff,Logon,4624,An account was successfully logged on.
Persistence,T1078,Valid Accounts,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Persistence,T1078,Valid Accounts,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Persistence,T1078,Valid Accounts,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Persistence,T1078,Valid Accounts,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Persistence,T1078.001,Default Accounts,Logon/Logoff,Logon,4624,An account was successfully logged on.
Persistence,T1078.001,Default Accounts,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Persistence,T1078.001,Default Accounts,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Persistence,T1078.001,Default Accounts,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Persistence,T1078.001,Default Accounts,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Persistence,T1078.002,Domain Accounts,Logon/Logoff,Logon,4624,An account was successfully logged on.
Persistence,T1078.002,Domain Accounts,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Persistence,T1078.002,Domain Accounts,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Persistence,T1078.002,Domain Accounts,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Persistence,T1078.002,Domain Accounts,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Persistence,T1078.003,Local Accounts,Logon/Logoff,Logon,4624,An account was successfully logged on.
Persistence,T1078.003,Local Accounts,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Persistence,T1078.003,Local Accounts,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Persistence,T1078.003,Local Accounts,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Persistence,T1078.003,Local Accounts,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Persistence,T1078.004,Cloud Accounts,Logon/Logoff,Logon,4624,An account was successfully logged on.
Persistence,T1078.004,Cloud Accounts,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Persistence,T1078.004,Cloud Accounts,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Persistence,T1078.004,Cloud Accounts,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Persistence,T1078.004,Cloud Accounts,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Credential Access,T1110,Brute Force,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1110,Brute Force,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Credential Access,T1110,Brute Force,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Credential Access,T1110,Brute Force,Detailed Tracking,Process Creation,4688,A new process has been created.
Credential Access,T1110.001,Password Guessing,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1110.001,Password Guessing,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Credential Access,T1110.001,Password Guessing,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Credential Access,T1110.002,Password Cracking,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1110.002,Password Cracking,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Credential Access,T1110.002,Password Cracking,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Credential Access,T1110.003,Password Spraying,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1110.003,Password Spraying,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Credential Access,T1110.003,Password Spraying,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Credential Access,T1110.004,Credential Stuffing,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1110.004,Credential Stuffing,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Credential Access,T1110.004,Credential Stuffing,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Collection,T1114,Email Collection,Logon/Logoff,Logon,4624,An account was successfully logged on.
Collection,T1114,Email Collection,Object Access,File System,4656,A handle to an object was requested.
Collection,T1114,Email Collection,Object Access,SAM,4661,A handle to an object was requested.
Collection,T1114,Email Collection,Object Access,File System,4663,An attempt was made to access an object.
Collection,T1114,Email Collection,Detailed Tracking,Process Creation,4688,A new process has been created.
Collection,T1114,Email Collection,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Collection,T1114,Email Collection,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Collection,T1114,Email Collection,Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
Collection,T1114,Email Collection,Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
Collection,T1114,Email Collection,Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
Collection,T1114,Email Collection,Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.
Collection,T1114,Email Collection,Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.
Collection,T1114,Email Collection,Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.
Collection,T1114,Email Collection,Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.
Collection,T1114.002,Remote Email Collection,Logon/Logoff,Logon,4624,An account was successfully logged on.
Collection,T1114.002,Remote Email Collection,Detailed Tracking,Process Creation,4688,A new process has been created.
Collection,T1114.002,Remote Email Collection,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Collection,T1114.002,Remote Email Collection,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Collection,T1114.002,Remote Email Collection,Object Access,Filtering Platform Connection,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
Collection,T1114.002,Remote Email Collection,Object Access,Filtering Platform Connection,5154,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
Collection,T1114.002,Remote Email Collection,Object Access,Filtering Platform Connection,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
Collection,T1114.002,Remote Email Collection,Object Access,Filtering Platform Connection,5156,The Windows Filtering Platform has allowed a connection.
Collection,T1114.002,Remote Email Collection,Object Access,Filtering Platform Connection,5157,The Windows Filtering Platform has blocked a connection.
Collection,T1114.002,Remote Email Collection,Object Access,Filtering Platform Connection,5158,The Windows Filtering Platform has permitted a bind to a local port.
Collection,T1114.002,Remote Email Collection,Object Access,Filtering Platform Connection,5159,The Windows Filtering Platform has blocked a bind to a local port.
Collection,T1185,Browser Session Hijacking,Logon/Logoff,Logon,4624,An account was successfully logged on.
Collection,T1185,Browser Session Hijacking,Object Access,Kernel Object,4656,A handle to an object was requested.
Collection,T1185,Browser Session Hijacking,Object Access,Kernel Object,4663,An attempt was made to access an object.
Collection,T1185,Browser Session Hijacking,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Collection,T1185,Browser Session Hijacking,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Initial Access,T1199,Trusted Relationship,Logon/Logoff,Logon,4624,An account was successfully logged on.
Initial Access,T1199,Trusted Relationship,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Initial Access,T1199,Trusted Relationship,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Defense Evasion,T1207,Rogue Domain Controller,Logon/Logoff,Logon,4624,An account was successfully logged on.
Defense Evasion,T1207,Rogue Domain Controller,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Defense Evasion,T1207,Rogue Domain Controller,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Defense Evasion,T1207,Rogue Domain Controller,DS Access,Directory Service Changes,5136,A directory service object was modified.
Defense Evasion,T1207,Rogue Domain Controller,DS Access,Directory Service Changes,5137,A directory service object was created.
Defense Evasion,T1207,Rogue Domain Controller,DS Access,Directory Service Changes,5139,A directory service object was moved.
Collection,T1213,Data from Information Repositories,Logon/Logoff,Logon,4624,An account was successfully logged on.
Collection,T1213,Data from Information Repositories,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Collection,T1213,Data from Information Repositories,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Collection,T1213.001,Confluence,Logon/Logoff,Logon,4624,An account was successfully logged on.
Collection,T1213.001,Confluence,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Collection,T1213.001,Confluence,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Collection,T1213.002,Sharepoint,Logon/Logoff,Logon,4624,An account was successfully logged on.
Collection,T1213.002,Sharepoint,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Collection,T1213.002,Sharepoint,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Collection,T1213.003,Code Repositories,Logon/Logoff,Logon,4624,An account was successfully logged on.
Collection,T1213.003,Code Repositories,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Collection,T1213.003,Code Repositories,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Discovery,T1538,Cloud Service Dashboard,Logon/Logoff,Logon,4624,An account was successfully logged on.
Discovery,T1538,Cloud Service Dashboard,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Discovery,T1538,Cloud Service Dashboard,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Discovery,T1538,Cloud Service Dashboard,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Discovery,T1538,Cloud Service Dashboard,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Defense Evasion,T1550,Use Alternate Authentication Material,Logon/Logoff,Logon,4624,An account was successfully logged on.
Defense Evasion,T1550,Use Alternate Authentication Material,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Defense Evasion,T1550,Use Alternate Authentication Material,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Defense Evasion,T1550,Use Alternate Authentication Material,Account Logon,Kerberos Authentication Service,4768,A Kerberos authentication ticket (TGT) was requested.
Defense Evasion,T1550,Use Alternate Authentication Material,Account Logon,Kerberos Service Ticket Operations,4769,A Kerberos service ticket was requested.
Defense Evasion,T1550,Use Alternate Authentication Material,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Defense Evasion,T1550,Use Alternate Authentication Material,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Defense Evasion,T1550.002,Pass the Hash,Logon/Logoff,Logon,4624,An account was successfully logged on.
Defense Evasion,T1550.002,Pass the Hash,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Defense Evasion,T1550.002,Pass the Hash,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Defense Evasion,T1550.002,Pass the Hash,Account Logon,Kerberos Authentication Service,4768,A Kerberos authentication ticket (TGT) was requested.
Defense Evasion,T1550.002,Pass the Hash,Account Logon,Kerberos Service Ticket Operations,4769,A Kerberos service ticket was requested.
Defense Evasion,T1550.002,Pass the Hash,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Defense Evasion,T1550.002,Pass the Hash,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Defense Evasion,T1550.003,Pass the Ticket,Logon/Logoff,Logon,4624,An account was successfully logged on.
Defense Evasion,T1550.003,Pass the Ticket,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Defense Evasion,T1550.003,Pass the Ticket,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Defense Evasion,T1550.003,Pass the Ticket,Account Logon,Kerberos Authentication Service,4768,A Kerberos authentication ticket (TGT) was requested.
Defense Evasion,T1550.003,Pass the Ticket,Account Logon,Kerberos Service Ticket Operations,4769,A Kerberos service ticket was requested.
Defense Evasion,T1550.003,Pass the Ticket,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Defense Evasion,T1550.003,Pass the Ticket,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Credential Access,T1552,Unsecured Credentials,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1552,Unsecured Credentials,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Credential Access,T1552,Unsecured Credentials,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Credential Access,T1552,Unsecured Credentials,Object Access,File System,4656,A handle to an object was requested.
Credential Access,T1552,Unsecured Credentials,Object Access,Registry,4656,A handle to an object was requested.
Credential Access,T1552,Unsecured Credentials,Object Access,SAM,4661,A handle to an object was requested.
Credential Access,T1552,Unsecured Credentials,Object Access,File System,4663,An attempt was made to access an object.
Credential Access,T1552,Unsecured Credentials,Object Access,Registry,4663,An attempt was made to access an object.
Credential Access,T1552,Unsecured Credentials,Detailed Tracking,Process Creation,4688,A new process has been created.
Credential Access,T1552.005,Cloud Instance Metadata API,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1552.005,Cloud Instance Metadata API,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Credential Access,T1552.005,Cloud Instance Metadata API,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Credential Access,T1552.007,Container API,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1552.007,Container API,Logon/Logoff,Account Lockout,4625,An account failed to log on.
Credential Access,T1552.007,Container API,Logon/Logoff,Logon,4648,A logon was attempted using explicit credentials.
Credential Access,T1552.007,Container API,Object Access,File System,4656,A handle to an object was requested.
Credential Access,T1552.007,Container API,Object Access,SAM,4661,A handle to an object was requested.
Credential Access,T1552.007,Container API,Object Access,File System,4663,An attempt was made to access an object.
Credential Access,T1552.007,Container API,Detailed Tracking,Process Creation,4688,A new process has been created.
Persistence,T1556,Modify Authentication Process,Logon/Logoff,Logon,4624,An account was successfully logged on.
Persistence,T1556,Modify Authentication Process,Object Access,Kernel Object,4656,A handle to an object was requested.
Persistence,T1556,Modify Authentication Process,Object Access,Registry,4657,A registry value was modified.
Persistence,T1556,Modify Authentication Process,Object Access,Kernel Object,4663,An attempt was made to access an object.
Persistence,T1556,Modify Authentication Process,Object Access,File System,4670,Permissions on an object were changed.
Persistence,T1556,Modify Authentication Process,Object Access,Registry,4670,Permissions on an object were changed.
Persistence,T1556,Modify Authentication Process,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Persistence,T1556,Modify Authentication Process,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Persistence,T1556.001,Domain Controller Authentication,Logon/Logoff,Logon,4624,An account was successfully logged on.
Persistence,T1556.001,Domain Controller Authentication,Object Access,Kernel Object,4656,A handle to an object was requested.
Persistence,T1556.001,Domain Controller Authentication,Object Access,Kernel Object,4663,An attempt was made to access an object.
Persistence,T1556.001,Domain Controller Authentication,Object Access,File System,4670,Permissions on an object were changed.
Persistence,T1556.001,Domain Controller Authentication,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Persistence,T1556.001,Domain Controller Authentication,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Persistence,T1556.003,Pluggable Authentication Modules,Logon/Logoff,Logon,4624,An account was successfully logged on.
Persistence,T1556.003,Pluggable Authentication Modules,Object Access,File System,4670,Permissions on an object were changed.
Persistence,T1556.003,Pluggable Authentication Modules,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Persistence,T1556.003,Pluggable Authentication Modules,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1563,Remote Service Session Hijacking,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1563,Remote Service Session Hijacking,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1563,Remote Service Session Hijacking,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1563,Remote Service Session Hijacking,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1563.001,SSH Hijacking,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1563.001,SSH Hijacking,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1563.001,SSH Hijacking,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1563.001,SSH Hijacking,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Lateral Movement,T1563.002,RDP Hijacking,Logon/Logoff,Logon,4624,An account was successfully logged on.
Lateral Movement,T1563.002,RDP Hijacking,Detailed Tracking,Process Creation,4688,A new process has been created.
Lateral Movement,T1563.002,RDP Hijacking,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Lateral Movement,T1563.002,RDP Hijacking,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Credential Access,T1606,Forge Web Credentials,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1606,Forge Web Credentials,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Credential Access,T1606,Forge Web Credentials,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Credential Access,T1606.001,Web Cookies,Logon/Logoff,Logon,4624,An account was successfully logged on.
Credential Access,T1606.001,Web Cookies,Logon/Logoff,Other Logon/Logoff Events,4778,A session was reconnected to a Window Station.
Credential Access,T1606.001,Web Cookies,Logon/Logoff,Special Logon,4964,Special groups have been assigned to a new logon.
Credential Access,T1606.002,SAML Tokens,Logon/Logoff,Logon,4624,An account was successfully logged on.
